k, u, y
500, 8.000000, 2.453895
501, 8.000000, 2.443043
502, 8.000000, 2.433835
503, 8.000000, 2.441069
504, 8.000000, 2.443043
505, 8.000000, 2.440412
506, 8.000000, 2.438439
507, 8.000000, 2.440412
508, 8.000000, 2.440412
509, 8.000000, 2.438767
510, 8.000000, 2.441398
511, 8.000000, 2.442056
512, 8.000000, 2.440741
513, 8.000000, 2.441069
514, 8.000000, 2.437123
515, 8.000000, 2.440741
516, 8.000000, 2.437452
517, 8.000000, 2.439425
518, 8.000000, 2.432848
519, 8.000000, 2.437781
520, 8.000000, 2.436465
521, 8.000000, 2.434821
522, 8.000000, 2.435808
523, 8.000000, 2.432190
524, 8.000000, 2.433835
525, 8.000000, 2.431533
526, 8.000000, 2.432519
527, 8.000000, 2.432190
528, 8.000000, 2.433506
529, 8.000000, 2.431204
530, 8.000000, 2.434492
531, 8.000000, 2.427915
532, 8.000000, 2.426929
533, 8.000000, 2.436794
534, 8.000000, 2.427915
535, 8.000000, 2.430217
536, 8.000000, 2.427258
537, 8.000000, 2.424956
538, 8.000000, 2.430546
539, 8.000000, 2.427258
540, 8.000000, 2.428902
541, 8.000000, 2.430217
542, 8.000000, 2.431204
543, 8.000000, 2.425942
544, 8.000000, 2.426929
545, 8.000000, 2.430217
546, 8.000000, 2.425284
547, 8.000000, 2.427258
548, 8.000000, 2.423969
549, 8.000000, 2.422982
550, 8.000000, 2.422654
551, 8.000000, 2.425942
552, 8.000000, 2.423640
553, 8.000000, 2.419694
554, 8.000000, 2.422982
555, 8.000000, 2.423311
556, 8.000000, 2.421009
557, 8.000000, 2.417392
558, 8.000000, 2.420352
559, 8.000000, 2.420352
560, 8.000000, 2.420023
561, 8.000000, 2.420680
562, 8.000000, 2.419365
563, 8.000000, 2.416734
564, 8.000000, 2.419365
565, 8.000000, 2.420023
566, 8.000000, 2.417063
567, 8.000000, 2.419036
568, 8.000000, 2.414103
569, 8.000000, 2.419036
570, 8.000000, 2.417063
571, 8.000000, 2.414103
572, 8.000000, 2.414761
573, 8.000000, 2.417063
574, 8.000000, 2.415748
575, 8.000000, 2.413446
576, 8.000000, 2.415419
577, 8.000000, 2.416405
578, 8.000000, 2.412459
579, 8.000000, 2.410157
580, 8.000000, 2.413117
581, 8.000000, 2.411473
582, 8.000000, 2.413775
583, 8.000000, 2.412788
584, 8.000000, 2.410815
585, 8.000000, 2.410815
586, 8.000000, 2.409828
587, 8.000000, 2.411144
588, 8.000000, 2.411801
589, 8.000000, 2.410815
590, 8.000000, 2.411144
591, 8.000000, 2.409828
592, 8.000000, 2.414761
593, 8.000000, 2.405224
594, 8.000000, 2.409499
595, 8.000000, 2.407526
596, 8.000000, 2.405224
597, 8.000000, 2.406540
598, 8.000000, 2.406869
599, 8.000000, 2.404567
600, 8.000000, 2.412788
601, 8.000000, 2.402594
602, 8.000000, 2.420680
603, 8.000000, 2.416734
604, 8.000000, 2.393715
605, 8.000000, 2.394701
606, 8.000000, 2.395030
607, 8.000000, 2.398976
608, 8.000000, 2.409499
609, 8.000000, 2.404567
610, 8.000000, 2.406869
611, 8.000000, 2.401936
612, 8.000000, 2.394043
613, 8.000000, 2.383849
614, 8.000000, 2.382205
615, 8.000000, 2.380232
616, 8.000000, 2.385822
617, 8.000000, 2.407855
618, 8.000000, 2.391413
619, 8.000000, 2.398976
620, 8.000000, 2.377272
621, 8.000000, 2.409171
622, 8.000000, 2.381547
623, 8.000000, 2.402922
624, 8.000000, 2.410157
625, 8.000000, 2.395030
626, 8.000000, 2.404567
627, 8.000000, 2.394701
628, 8.000000, 2.383520
629, 8.000000, 2.398647
630, 8.000000, 2.396016
631, 8.000000, 2.400620
632, 8.000000, 2.393386
633, 8.000000, 2.396345
634, 8.000000, 2.395688
635, 8.000000, 2.396345
636, 8.000000, 2.395688
637, 8.000000, 2.392399
638, 8.000000, 2.397990
639, 8.000000, 2.398647
640, 8.000000, 2.394043
641, 8.000000, 2.396016
642, 8.000000, 2.393057
643, 8.000000, 2.382862
644, 8.000000, 2.396345
645, 8.000000, 2.391413
646, 8.000000, 2.389111
647, 8.000000, 2.393386
648, 8.000000, 2.389439
649, 8.000000, 2.386151
650, 8.000000, 2.388453
651, 8.000000, 2.390755
652, 8.000000, 2.393057
653, 8.000000, 2.393057
654, 8.000000, 2.392070
655, 8.000000, 2.389111
656, 8.000000, 2.393057
657, 8.000000, 2.387466
658, 8.000000, 2.389439
659, 8.000000, 2.392070
660, 8.000000, 2.390426
661, 8.000000, 2.390097
662, 8.000000, 2.390426
663, 8.000000, 2.386480
664, 8.000000, 2.387795
665, 8.000000, 2.386151
666, 8.000000, 2.388124
667, 8.000000, 2.387137
668, 8.000000, 2.389111
669, 8.000000, 2.385493
670, 8.000000, 2.386809
671, 8.000000, 2.379574
672, 8.000000, 2.384507
673, 8.000000, 2.389111
674, 8.000000, 2.382862
675, 8.000000, 2.383520
676, 8.000000, 2.387137
677, 8.000000, 2.385493
678, 8.000000, 2.386151
679, 8.000000, 2.383849
680, 8.000000, 2.383849
681, 8.000000, 2.385822
682, 8.000000, 2.386480
683, 8.000000, 2.382862
684, 8.000000, 2.383191
685, 8.000000, 2.386151
686, 8.000000, 2.383520
687, 8.000000, 2.380232
688, 8.000000, 2.380232
689, 8.000000, 2.381218
690, 8.000000, 2.380889
691, 8.000000, 2.377930
692, 8.000000, 2.378587
693, 8.000000, 2.375299
694, 8.000000, 2.385493
695, 8.000000, 2.380889
696, 8.000000, 2.382533
697, 8.000000, 2.380889
698, 8.000000, 2.380560
699, 8.000000, 2.379245
700, 8.000000, 2.378916
701, 8.000000, 2.378916
702, 8.000000, 2.378916
703, 8.000000, 2.377601
704, 8.000000, 2.377272
705, 8.000000, 2.379245
706, 8.000000, 2.381547
707, 8.000000, 2.379903
708, 8.000000, 2.376285
709, 8.000000, 2.381876
710, 8.000000, 2.379903
711, 8.000000, 2.380560
712, 8.000000, 2.369708
713, 8.000000, 2.377930
714, 8.000000, 2.376285
715, 8.000000, 2.374641
716, 8.000000, 2.375628
717, 8.000000, 2.373983
718, 8.000000, 2.373654
719, 8.000000, 2.378258
720, 8.000000, 2.373654
721, 8.000000, 2.375956
722, 8.000000, 2.374312
723, 8.000000, 2.371024
724, 8.000000, 2.371024
725, 8.000000, 2.375956
726, 8.000000, 2.375299
727, 8.000000, 2.377272
728, 8.000000, 2.375299
729, 8.000000, 2.369050
730, 8.000000, 2.373983
731, 8.000000, 2.370695
732, 8.000000, 2.371681
733, 8.000000, 2.373654
734, 8.000000, 2.370366
735, 8.000000, 2.370037
736, 8.000000, 2.374641
737, 8.000000, 2.370037
738, 8.000000, 2.371024
739, 8.000000, 2.372668
740, 8.000000, 2.375299
741, 8.000000, 2.371024
742, 8.000000, 2.372668
743, 8.000000, 2.372997
744, 8.000000, 2.372997
745, 8.000000, 2.360500
746, 8.000000, 2.362145
747, 8.000000, 2.371352
748, 8.000000, 2.356554
749, 8.000000, 2.348662
750, 8.000000, 2.355239
751, 8.000000, 2.376285
752, 8.000000, 2.374312
753, 8.000000, 2.373983
754, 8.000000, 2.381876
755, 8.000000, 2.372668
756, 8.000000, 2.365104
757, 8.000000, 2.372010
758, 8.000000, 2.364118
759, 8.000000, 2.374641
760, 8.000000, 2.350964
761, 8.000000, 2.350306
762, 8.000000, 2.360171
763, 8.000000, 2.380889
764, 8.000000, 2.343400
765, 8.000000, 2.345044
766, 8.000000, 2.364447
767, 8.000000, 2.370037
768, 8.000000, 2.365762
769, 8.000000, 2.364775
770, 8.000000, 2.363460
771, 8.000000, 2.365433
772, 8.000000, 2.365762
773, 8.000000, 2.366749
774, 8.000000, 2.348333
775, 8.000000, 2.364775
776, 8.000000, 2.365104
777, 8.000000, 2.365104
778, 8.000000, 2.365104
779, 8.000000, 2.363131
780, 8.000000, 2.364775
781, 8.000000, 2.359185
782, 8.000000, 2.362802
783, 8.000000, 2.363131
784, 8.000000, 2.360500
785, 8.000000, 2.364775
786, 8.000000, 2.364447
787, 8.000000, 2.366091
788, 8.000000, 2.360829
789, 8.000000, 2.363460
790, 8.000000, 2.361816
791, 8.000000, 2.363460
792, 8.000000, 2.361158
793, 8.000000, 2.362145
794, 8.000000, 2.364118
795, 8.000000, 2.360829
796, 8.000000, 2.357541
797, 8.000000, 2.362802
798, 8.000000, 2.360171
799, 8.000000, 2.362145
800, 8.000000, 2.360500
801, 8.000000, 2.358527
802, 8.000000, 2.361816
803, 8.000000, 2.366420
804, 8.000000, 2.358198
805, 8.000000, 2.357869
806, 8.000000, 2.360171
807, 8.000000, 2.360500
808, 8.000000, 2.360829
809, 8.000000, 2.361487
810, 8.000000, 2.356883
811, 8.000000, 2.356883
812, 8.000000, 2.360171
813, 8.000000, 2.356554
814, 8.000000, 2.359185
815, 8.000000, 2.357869
816, 8.000000, 2.357869
817, 8.000000, 2.360829
818, 8.000000, 2.359514
819, 8.000000, 2.359514
820, 8.000000, 2.351621
821, 8.000000, 2.356883
822, 8.000000, 2.356883
823, 8.000000, 2.354252
824, 8.000000, 2.353594
825, 8.000000, 2.355568
826, 8.000000, 2.353923
827, 8.000000, 2.355568
828, 8.000000, 2.354910
829, 8.000000, 2.356225
830, 8.000000, 2.352608
831, 8.000000, 2.353594
832, 8.000000, 2.355896
833, 8.000000, 2.355568
834, 8.000000, 2.355896
835, 8.000000, 2.354910
836, 8.000000, 2.354581
837, 8.000000, 2.353266
838, 8.000000, 2.348004
839, 8.000000, 2.346688
840, 8.000000, 2.350635
841, 8.000000, 2.357212
842, 8.000000, 2.352608
843, 8.000000, 2.348004
844, 8.000000, 2.345373
845, 8.000000, 2.349977
846, 8.000000, 2.357541
847, 8.000000, 2.349319
848, 8.000000, 2.352937
849, 8.000000, 2.350306
850, 8.000000, 2.351292
851, 8.000000, 2.349648
852, 8.000000, 2.348333
853, 8.000000, 2.347675
854, 8.000000, 2.349977
855, 8.000000, 2.349319
856, 8.000000, 2.350635
857, 8.000000, 2.352279
858, 8.000000, 2.356554
859, 8.000000, 2.348004
860, 8.000000, 2.351621
861, 8.000000, 2.347675
862, 8.000000, 2.343729
863, 8.000000, 2.348990
864, 8.000000, 2.350635
865, 8.000000, 2.347346
866, 8.000000, 2.349319
867, 8.000000, 2.346688
