k,y_pred
2065,2.718137841544716
2066,2.7192481530659416
2067,2.720355364597856
2068,2.721459484795628
2069,2.7225605222902614
2070,2.7236584856886616
2071,2.724753383573705
2072,2.7258452245043028
2073,2.726934017015471
2074,2.728019769618395
2075,2.7291024908004977
2076,2.7301821890255047
2077,2.7312588727335108
2078,2.7323325503410465
2079,2.733403230241143
2080,2.7344709208033984
2081,2.7355356303740423
2082,2.7365973672760022
2083,2.7376561398089683
2084,2.738711956249457
2085,2.7397648248508775
2086,2.7408147538435954
2087,2.7418617514349966
2088,2.7429058258095527
2089,2.743946985128884
2090,2.7449852375318233
2091,2.74602059113448
2092,2.7470530540303035
2093,2.748082634290146
2094,2.7491093399623256
2095,2.7501331790726904
2096,2.75115415962468
2097,2.752172289599387
2098,2.7531875769556233
2099,2.754200029629978
2100,2.7552096555368815
2101,2.7562164625686676
2102,2.7572204585956346
2103,2.7582216514661066
2104,2.7592200490064958
2105,2.760215659021362
2106,2.761208489293476
2107,2.7621985475838775
2108,2.7631858416319393
2109,2.7641703791554244
2110,2.765152167850548
2111,2.7661312153920385
2112,2.7671075294331953
2113,2.76808111760595
2114,2.769051987520926
2115,2.7700201467674983
2116,2.7709856029138518
2117,2.7719483635070414
2118,2.7729084360730503
2119,2.773865828116849
2120,2.774820547122455
2121,2.7757726005529895
2122,2.7767219958507368
2123,2.777668740437203
2124,2.7786128417131724
2125,2.779554307058767
2126,2.7804931438335037
2127,2.7814293593763506
2128,2.7823629610057865
2129,2.7832939560198566
2130,2.7842223516962297
2131,2.785148155292256
2132,2.7860713740450223
2133,2.78699201517141
2134,2.787910085868151
2135,2.7888255933118837
2136,2.7897385446592096
2137,2.7906489470467486
2138,2.7915568075911956
2139,2.7924621333893755
2140,2.793364931518299
2141,2.794265209035217
2142,2.7951629729776775
2143,2.7960582303635797
2144,2.7969509881912282
2145,2.7978412534393886
2146,2.7987290330673416
2147,2.799614334014938
2148,2.8004971632026523
2149,2.801377527531637
2150,2.802255433883777
2151,2.8031308891217424
2152,2.804003900089043
2153,2.8048744736100817
2154,2.805742616490207
2155,2.8066083355157674
2156,2.807471637454164
2157,2.8083325290539034
2158,2.80919101704465
2159,2.8100471081372786
2160,2.8109008090239285
2161,2.8117521263780536
2162,2.8126010668544756
2163,2.8134476370894363
2164,2.8142918437006488
2165,2.815133693287349
2166,2.8159731924303495
2167,2.8168103476920874
2168,2.8176451656166783
2169,2.8184776527299666
2170,2.8193078155395765
2171,2.8201356605349632
2172,2.8209611941874626
2173,2.8217844229503433
2174,2.822605353258856
2175,2.823423991530285
2176,2.824240344163996
2177,2.825054417541489
2178,2.8258662180264467
2179,2.8266757519647836
2180,2.8274830256846974
2181,2.8282880454967168
2182,2.8290908176937513
2183,2.8298913485511417
2184,2.830689644326707
2185,2.831485711260795
2186,2.8322795555763296
2187,2.8330711834788613
2188,2.8338606011566143
2189,2.8346478147805354
2190,2.8354328305043417
2191,2.83621565446457
2192,2.8369962927806225
2193,2.8377747515548175
2194,2.8385510368724347
2195,2.839325154801764
2196,2.840097111394152
2197,2.8408669126840516
2198,2.8416345646890657
2199,2.8424000734099972
2200,2.8431634448308944
2201,2.8439246849190982
2202,2.844683799625288
2203,2.84544079488353
2204,2.8461956766113223
2205,2.8469484507096405
2206,2.8476991230629856
2207,2.8484476995394283
2208,2.849194185990656
2209,2.8499385882520185
2210,2.850680912142573
2211,2.85142116346513
2212,2.852159348006299
2213,2.852895471536532
2214,2.8536295398101705
2215,2.8543615585654907
2216,2.855091533524747
2217,2.855819470394217
2218,2.856545374864246
2219,2.857269252609293
2220,2.857991109287973
2221,2.8587109505431028
2222,2.859428782001744
2223,2.8601446092752476
2224,2.8608584379592976
2225,2.861570273633955
2226,2.862280121863701
2227,2.862987988197481
2228,2.863693878168748
2229,2.864397797295505
2230,2.8650997510803493
2231,2.8657997450105146
2232,2.8664977845579145
2233,2.8671938751791846
2234,2.867888022315726
2235,2.8685802313937474
2236,2.8692705078243073
2237,2.8699588570033567
2238,2.870645284311781
2239,2.8713297951154417
2240,2.87201239476522
2241,2.8726930885970563
2242,2.8733718819319938
2243,2.874048780076219
2244,2.8747237883211034
2245,2.8753969119432456
2246,2.876068156204511
2247,2.876737526352075
2248,2.8774050276184617
2249,2.878070665221587
2250,2.8787344443647975
2251,2.879396370236913
2252,2.8800564480122652
2253,2.8807146828507397
2254,2.8813710798978156
2255,2.8820256442846057
2256,2.882678381127897
2257,2.88332929553019
2258,2.883978392579739
2259,2.8846256773505923
2260,2.885271154902631
2261,2.8859148302816098
2262,2.8865567085191945
2263,2.8871967946330037
2264,2.8878350936266464
2265,2.8884716104897605
2266,2.8891063501980545
2267,2.8897393177133437
2268,2.89037051798359
2269,2.890999955942941
2270,2.8916276365117684
2271,2.892253564596705
2272,2.892877745090686
2273,2.893500182872984
2274,2.8941208828092493
2275,2.8947398497515477
2276,2.8953570885383972
2277,2.8959726039948075
2278,2.8965864009323163
2279,2.897198484149028
2280,2.8978088584296495
2281,2.8984175285455307
2282,2.8990244992546983
2283,2.899629775301895
